TotalCheckouts|Title|CallNumber|Author|OwningLibrary|Publisher|CopyrightDate|DateLastBorrowed|itype|ItemCode
3|Winning recipes.|641.5 WINNING|NULL|MON|NULL|2012|2020-02-02 15:11:59|NULL|NULL
2|Darkness under the sun a tale of suspense|eBOOK OVERDRI|Koontz, Dean R. (Dean Ray), 1945-|PUBLIC|NULL|2010|2020-02-08 05:35:35|Ebook|NULL
2|The coming storm : a thriller|FIC ALPERT|Alpert, Mark, 1961- author.|LYN|NULL|2019|2019-10-13 10:17:48|Fiction|NULL
6|Ordinary girls : a memoir|818.603 DIAZ|Díaz, Jaquira, author.|SNO|NULL|2019|2020-02-11 17:03:54|Nonfiction|NULL
1|Reach for the stars : and other advice for life's journey|E BLOCH|Bloch, Serge.|OAK|NULL|2010|2019-11-12 14:33:35|NULL|NULL
18|Roller girl|J JAMIESO|Jamieson, Victoria, author.|MCR|Dial Books for Young Readers, an imprint of Penguin Group (USA) LLC,|2015|2020-01-18 15:35:42|Juvenile Graphic Novel|NULL
5|The okay witch|J STEINKE|Steinkellner, Emma, author, artist.|LNG|Aladdin,|2019|2020-01-31 14:02:55|Juvenile Graphic Novel|Book
5|Nauti deceptions|eBOOK OVERDRI|Leigh, Lora.|PUBLIC|NULL|2010|2020-02-02 18:59:14|Ebook|Electronic Resource
4|I know everything|FIC FARRELL|Farrell, Matthew, author.|GRA|Thomas & Mercer,|2019|2020-01-27 07:35:04|NULL|NULL
5|Silent souls weeping : depression : sharing stories, finding hope|248.8625 JOHNSON|Johnson, Jane Clayson, author.|MCR|NULL|2018|2020-01-31 14:12:37|NULL|NULL
4|Allies of the night|eAUDIO OVERDRI|Shan, Darren.|PUBLIC|NULL|2004|2020-02-15 19:32:20|Ebook|Electronic Resource
8|Lego Ninjago : masters of Spinjitzu.|DVD LEGO NI|NULL|MCR|Distributed by Warner Home Video|2014|2020-02-09 10:37:04|DVD Television Series|NULL
1|Fantastic fidget spinners|J 793.4 STEAD|Stead, Emily, author.|LYN|Feiwel and Friends,|2017|2019-01-05 16:41:51|NULL|NULL
